0.1	0Mbps
0.2	0Mbps
0.3	0Mbps
0.4	0Mbps
0.5	0Mbps
0.6	0Mbps
0.7	0Mbps
0.8	0Mbps
0.9	0Mbps
1	0Mbps
1.1	0Mbps
1.2	0Mbps
1.3	0Mbps
1.4	0Mbps
1.5	0Mbps
1.6	0Mbps
1.7	0Mbps
1.8	0Mbps
1.9	0Mbps
2	0.00464Mbps
2.1	79.8539Mbps
2.2	658.477Mbps
2.3	637.689Mbps
2.4	428.13Mbps
2.5	448.918Mbps
2.6	430.053Mbps
2.7	386.314Mbps
2.8	537.356Mbps
2.9	343.898Mbps
3	399.532Mbps
3.1	416.234Mbps
3.2	443.751Mbps
3.3	431.855Mbps
3.4	443.871Mbps
3.5	421.041Mbps
3.6	428.611Mbps
3.7	581.815Mbps
3.8	380.306Mbps
3.9	337.65Mbps
4	768.423Mbps
4.1	210.761Mbps
4.2	389.919Mbps
4.3	419.959Mbps
4.4	462.736Mbps
4.5	437.503Mbps
4.6	443.991Mbps
4.7	436.782Mbps
4.8	420.079Mbps
4.9	361.201Mbps
5	421.646Mbps
5.1	404.112Mbps
5.2	478.735Mbps
5.3	412.269Mbps
5.4	438.464Mbps
5.5	460.213Mbps
5.6	337.049Mbps
5.7	433.898Mbps
5.8	498.183Mbps
5.9	549.612Mbps
6	403.257Mbps
6.1	493.617Mbps
6.2	675.66Mbps
6.3	437.142Mbps
6.4	578.45Mbps
6.5	683.71Mbps
6.6	666.047Mbps
6.7	636.127Mbps
6.8	698.009Mbps
6.9	660.159Mbps
7	702.215Mbps
7.1	632.282Mbps
7.2	650.666Mbps
7.3	635.767Mbps
7.4	685.993Mbps
7.5	655.833Mbps
7.6	522.576Mbps
7.7	615.099Mbps
7.8	663.163Mbps
7.9	566.074Mbps
8	603.684Mbps
8.1	624.832Mbps
8.2	654.512Mbps
8.3	666.407Mbps
8.4	632.883Mbps
8.5	672.536Mbps
8.6	634.565Mbps
8.7	625.072Mbps
8.8	649.825Mbps
8.9	548.651Mbps
9	647.783Mbps
9.1	640.573Mbps
9.2	642.135Mbps
9.3	632.763Mbps
9.4	614.739Mbps
9.5	660.159Mbps
9.6	602.122Mbps
9.7	596.474Mbps
9.8	596.234Mbps
9.9	620.867Mbps
10	634.565Mbps
10.1	612.576Mbps
10.2	606.448Mbps
10.3	552.736Mbps
10.4	668.33Mbps
10.5	657.756Mbps
10.6	679.144Mbps
10.7	659.198Mbps
10.8	531.948Mbps
10.9	561.988Mbps
11	701.975Mbps
11.1	529.545Mbps
11.2	580.253Mbps
11.3	568.237Mbps
11.4	661.721Mbps
11.5	655.353Mbps
11.6	646.341Mbps
11.7	650.787Mbps
11.8	641.654Mbps
11.9	652.228Mbps
12	667.369Mbps
